기간,공장,공정코드,총_양품수량,총_생산수량,목표_총_생산량,양품수_기준_달성률(%),일일_목표량,운영일수
2024-01-02,A관(1공장),[10] 사출조립,126460.0,138140.0,197367.0,64.07,197367.0,1
2024-01-02,A관(1공장),[20] 분리,60122.0,90090.0,197367.0,30.46,197367.0,1
2024-01-02,A관(1공장),[45] 하이드레이션/전면검사,71409.0,71409.0,118500.0,60.26,118500.0,1
2024-01-02,A관(1공장),[80] 누수/규격검사,73937.0,75205.0,112903.0,65.49,112903.0,1
2024-01-02,C관(2공장),[10] 사출조립,1508333.0,1753248.0,742386.0,203.17,742386.0,1
2024-01-02,C관(2공장),[20] 분리,1319857.0,1601106.0,742386.0,177.79,742386.0,1
2024-01-02,C관(2공장),[45] 하이드레이션/전면검사,606935.0,608272.0,650698.0,93.27,650698.0,1
2024-01-02,C관(2공장),[80] 누수/규격검사,415600.0,419495.0,609677.0,68.17,609677.0,1
2024-01-02,S관(3공장),[10] 사출조립,169753.0,230168.0,183871.0,92.32,183871.0,1
2024-01-02,S관(3공장),[20] 분리,178775.0,223340.0,183871.0,97.23,183871.0,1
2024-01-02,S관(3공장),[45] 하이드레이션/전면검사,72332.0,72558.0,116759.0,61.95,116759.0,1
2024-01-02,S관(3공장),[80] 누수/규격검사,118198.0,120164.0,100645.0,117.44,100645.0,1
2024-01-03,A관(1공장),[10] 사출조립,218480.0,227070.0,197367.0,110.7,197367.0,1
2024-01-03,A관(1공장),[20] 분리,62059.0,89000.0,197367.0,31.44,197367.0,1
2024-01-03,A관(1공장),[45] 하이드레이션/전면검사,92027.0,92070.0,118500.0,77.66,118500.0,1
2024-01-03,A관(1공장),[80] 누수/규격검사,71750.0,74719.0,112903.0,63.55,112903.0,1
2024-01-03,C관(2공장),[10] 사출조립,852335.0,994702.0,742386.0,114.81,742386.0,1
2024-01-03,C관(2공장),[20] 분리,867904.0,1052826.0,742386.0,116.91,742386.0,1
2024-01-03,C관(2공장),[45] 하이드레이션/전면검사,1029445.0,1031629.0,650698.0,158.21,650698.0,1
2024-01-03,C관(2공장),[80] 누수/규격검사,678533.0,685565.0,609677.0,111.29,609677.0,1
2024-01-03,S관(3공장),[10] 사출조립,240217.0,331760.0,183871.0,130.64,183871.0,1
2024-01-03,S관(3공장),[20] 분리,219795.0,282800.0,183871.0,119.54,183871.0,1
2024-01-03,S관(3공장),[45] 하이드레이션/전면검사,139625.0,140527.0,116759.0,119.58,116759.0,1
2024-01-03,S관(3공장),[80] 누수/규격검사,121618.0,126115.0,100645.0,120.84,100645.0,1
2024-01-04,A관(1공장),[10] 사출조립,206940.0,222050.0,197367.0,104.85,197367.0,1
2024-01-04,A관(1공장),[20] 분리,69402.0,100640.0,197367.0,35.16,197367.0,1
2024-01-04,A관(1공장),[45] 하이드레이션/전면검사,93077.0,93183.0,118500.0,78.55,118500.0,1
2024-01-04,A관(1공장),[80] 누수/규격검사,72484.0,73165.0,112903.0,64.2,112903.0,1
2024-01-04,C관(2공장),[10] 사출조립,847257.0,1035826.0,742386.0,114.13,742386.0,1
2024-01-04,C관(2공장),[20] 분리,895097.0,1090826.0,742386.0,120.57,742386.0,1
2024-01-04,C관(2공장),[45] 하이드레이션/전면검사,993611.0,1000040.0,650698.0,152.7,650698.0,1
2024-01-04,C관(2공장),[80] 누수/규격검사,773351.0,782340.0,609677.0,126.85,609677.0,1
2024-01-04,S관(3공장),[10] 사출조립,308021.0,402024.0,183871.0,167.52,183871.0,1
2024-01-04,S관(3공장),[20] 분리,205314.0,252010.0,183871.0,111.66,183871.0,1
2024-01-04,S관(3공장),[45] 하이드레이션/전면검사,144548.0,145302.0,116759.0,123.8,116759.0,1
2024-01-04,S관(3공장),[80] 누수/규격검사,123602.0,127201.0,100645.0,122.81,100645.0,1
2024-01-05,A관(1공장),[10] 사출조립,350570.0,367550.0,197367.0,177.62,197367.0,1
2024-01-05,A관(1공장),[20] 분리,73663.0,109620.0,197367.0,37.32,197367.0,1
2024-01-05,A관(1공장),[45] 하이드레이션/전면검사,90451.0,90451.0,118500.0,76.33,118500.0,1
2024-01-05,A관(1공장),[80] 누수/규격검사,82450.0,83005.0,112903.0,73.03,112903.0,1
2024-01-05,C관(2공장),[10] 사출조립,948494.0,1153140.0,742386.0,127.76,742386.0,1
2024-01-05,C관(2공장),[20] 분리,860628.0,1054353.0,742386.0,115.93,742386.0,1
2024-01-05,C관(2공장),[45] 하이드레이션/전면검사,1029105.0,1033392.0,650698.0,158.15,650698.0,1
2024-01-05,C관(2공장),[80] 누수/규격검사,765933.0,773228.0,609677.0,125.63,609677.0,1
2024-01-05,S관(3공장),[10] 사출조립,284537.0,393236.0,183871.0,154.75,183871.0,1
2024-01-05,S관(3공장),[20] 분리,175692.0,219345.0,183871.0,95.55,183871.0,1
2024-01-05,S관(3공장),[45] 하이드레이션/전면검사,147930.0,148708.0,116759.0,126.7,116759.0,1
2024-01-05,S관(3공장),[80] 누수/규격검사,145867.0,147532.0,100645.0,144.93,100645.0,1
2024-01-06,A관(1공장),[10] 사출조립,265610.0,286600.0,197367.0,134.58,197367.0,1
2024-01-06,A관(1공장),[20] 분리,101705.0,150250.0,197367.0,51.53,197367.0,1
2024-01-06,A관(1공장),[45] 하이드레이션/전면검사,112613.0,112746.0,118500.0,95.03,118500.0,1
2024-01-06,A관(1공장),[80] 누수/규격검사,78668.0,79784.0,112903.0,69.68,112903.0,1
2024-01-06,C관(2공장),[10] 사출조립,846266.0,1006527.0,742386.0,113.99,742386.0,1
2024-01-06,C관(2공장),[20] 분리,902223.0,1085363.0,742386.0,121.53,742386.0,1
2024-01-06,C관(2공장),[45] 하이드레이션/전면검사,1082948.0,1089166.0,650698.0,166.43,650698.0,1
2024-01-06,C관(2공장),[80] 누수/규격검사,869198.0,874857.0,609677.0,142.57,609677.0,1
2024-01-06,S관(3공장),[10] 사출조립,316489.0,396984.0,183871.0,172.13,183871.0,1
2024-01-06,S관(3공장),[20] 분리,206093.0,263352.0,183871.0,112.09,183871.0,1
2024-01-06,S관(3공장),[45] 하이드레이션/전면검사,155102.0,155943.0,116759.0,132.84,116759.0,1
2024-01-06,S관(3공장),[80] 누수/규격검사,177177.0,182672.0,100645.0,176.04,100645.0,1
2024-01-07,A관(1공장),[10] 사출조립,282080.0,300460.0,197367.0,142.92,197367.0,1
2024-01-07,A관(1공장),[20] 분리,99505.0,134350.0,197367.0,50.42,197367.0,1
2024-01-07,A관(1공장),[45] 하이드레이션/전면검사,99553.0,99711.0,118500.0,84.01,118500.0,1
2024-01-07,A관(1공장),[80] 누수/규격검사,71453.0,72893.0,112903.0,63.29,112903.0,1
2024-01-07,C관(2공장),[10] 사출조립,971806.0,1209825.0,742386.0,130.9,742386.0,1
2024-01-07,C관(2공장),[20] 분리,789663.0,962013.0,742386.0,106.37,742386.0,1
2024-01-07,C관(2공장),[45] 하이드레이션/전면검사,993263.0,997672.0,650698.0,152.65,650698.0,1
2024-01-07,C관(2공장),[80] 누수/규격검사,866871.0,874696.0,609677.0,142.19,609677.0,1
2024-01-07,S관(3공장),[10] 사출조립,275064.0,374735.0,183871.0,149.6,183871.0,1
2024-01-07,S관(3공장),[20] 분리,176722.0,210487.0,183871.0,96.11,183871.0,1
2024-01-07,S관(3공장),[45] 하이드레이션/전면검사,205045.0,207301.0,116759.0,175.61,116759.0,1
2024-01-07,S관(3공장),[80] 누수/규격검사,167420.0,170048.0,100645.0,166.35,100645.0,1
2024-01-08,A관(1공장),[10] 사출조립,215810.0,225520.0,197367.0,109.34,197367.0,1
2024-01-08,A관(1공장),[20] 분리,96713.0,130410.0,197367.0,49.0,197367.0,1
2024-01-08,A관(1공장),[45] 하이드레이션/전면검사,117664.0,118533.0,118500.0,99.29,118500.0,1
2024-01-08,A관(1공장),[80] 누수/규격검사,63714.0,64641.0,112903.0,56.43,112903.0,1
2024-01-08,C관(2공장),[10] 사출조립,861587.0,1026643.0,742386.0,116.06,742386.0,1
2024-01-08,C관(2공장),[20] 분리,873065.0,1045937.0,742386.0,117.6,742386.0,1
2024-01-08,C관(2공장),[45] 하이드레이션/전면검사,942372.0,946855.0,650698.0,144.82,650698.0,1
2024-01-08,C관(2공장),[80] 누수/규격검사,850024.0,862811.0,609677.0,139.42,609677.0,1
2024-01-08,S관(3공장),[10] 사출조립,222255.0,347032.0,183871.0,120.88,183871.0,1
2024-01-08,S관(3공장),[20] 분리,227797.0,292811.0,183871.0,123.89,183871.0,1
2024-01-08,S관(3공장),[45] 하이드레이션/전면검사,143099.0,143795.0,116759.0,122.56,116759.0,1
2024-01-08,S관(3공장),[80] 누수/규격검사,214251.0,218888.0,100645.0,212.88,100645.0,1
2024-01-09,A관(1공장),[10] 사출조립,269770.0,282760.0,197367.0,136.68,197367.0,1
2024-01-09,A관(1공장),[20] 분리,93987.0,125970.0,197367.0,47.62,197367.0,1
2024-01-09,A관(1공장),[45] 하이드레이션/전면검사,79462.0,81158.0,118500.0,67.06,118500.0,1
2024-01-09,A관(1공장),[80] 누수/규격검사,68286.0,69192.0,112903.0,60.48,112903.0,1
2024-01-09,C관(2공장),[10] 사출조립,882561.0,1029163.0,742386.0,118.88,742386.0,1
2024-01-09,C관(2공장),[20] 분리,847135.0,1016916.0,742386.0,114.11,742386.0,1
2024-01-09,C관(2공장),[45] 하이드레이션/전면검사,853423.0,858432.0,650698.0,131.16,650698.0,1
2024-01-09,C관(2공장),[80] 누수/규격검사,773157.0,787837.0,609677.0,126.81,609677.0,1
2024-01-09,S관(3공장),[10] 사출조립,227185.0,296924.0,183871.0,123.56,183871.0,1
2024-01-09,S관(3공장),[20] 분리,193761.0,229959.0,183871.0,105.38,183871.0,1
2024-01-09,S관(3공장),[45] 하이드레이션/전면검사,178699.0,179905.0,116759.0,153.05,116759.0,1
2024-01-09,S관(3공장),[80] 누수/규격검사,219019.0,223360.0,100645.0,217.62,100645.0,1
2024-01-10,A관(1공장),[10] 사출조립,212400.0,223590.0,197367.0,107.62,197367.0,1
2024-01-10,A관(1공장),[20] 분리,115425.0,140430.0,197367.0,58.48,197367.0,1
2024-01-10,A관(1공장),[45] 하이드레이션/전면검사,58118.0,58256.0,118500.0,49.04,118500.0,1
2024-01-10,A관(1공장),[80] 누수/규격검사,72133.0,72917.0,112903.0,63.89,112903.0,1
2024-01-10,C관(2공장),[10] 사출조립,910495.0,1037783.0,742386.0,122.64,742386.0,1
2024-01-10,C관(2공장),[20] 분리,973400.0,1157289.0,742386.0,131.12,742386.0,1
2024-01-10,C관(2공장),[45] 하이드레이션/전면검사,1101180.0,1112131.0,650698.0,169.23,650698.0,1
2024-01-10,C관(2공장),[80] 누수/규격검사,873560.0,882815.0,609677.0,143.28,609677.0,1
2024-01-10,S관(3공장),[10] 사출조립,306783.0,364693.0,183871.0,166.85,183871.0,1
2024-01-10,S관(3공장),[20] 분리,237513.0,296415.0,183871.0,129.17,183871.0,1
2024-01-10,S관(3공장),[45] 하이드레이션/전면검사,220794.0,222172.0,116759.0,189.1,116759.0,1
2024-01-10,S관(3공장),[80] 누수/규격검사,167036.0,168803.0,100645.0,165.97,100645.0,1
2024-01-11,A관(1공장),[10] 사출조립,167040.0,177020.0,197367.0,84.63,197367.0,1
2024-01-11,A관(1공장),[20] 분리,134977.0,170770.0,197367.0,68.39,197367.0,1
2024-01-11,A관(1공장),[45] 하이드레이션/전면검사,67901.0,69033.0,118500.0,57.3,118500.0,1
2024-01-11,A관(1공장),[80] 누수/규격검사,69380.0,69796.0,112903.0,61.45,112903.0,1
2024-01-11,C관(2공장),[10] 사출조립,856014.0,990778.0,742386.0,115.31,742386.0,1
2024-01-11,C관(2공장),[20] 분리,968640.0,1176610.0,742386.0,130.48,742386.0,1
2024-01-11,C관(2공장),[45] 하이드레이션/전면검사,1076655.0,1078489.0,650698.0,165.46,650698.0,1
2024-01-11,C관(2공장),[80] 누수/규격검사,850617.0,858121.0,609677.0,139.52,609677.0,1
2024-01-11,S관(3공장),[10] 사출조립,237957.0,283056.0,183871.0,129.42,183871.0,1
2024-01-11,S관(3공장),[20] 분리,240803.0,300750.0,183871.0,130.96,183871.0,1
2024-01-11,S관(3공장),[45] 하이드레이션/전면검사,220709.0,224173.0,116759.0,189.03,116759.0,1
2024-01-11,S관(3공장),[80] 누수/규격검사,185888.0,186877.0,100645.0,184.7,100645.0,1
2024-01-12,A관(1공장),[10] 사출조립,229300.0,244490.0,197367.0,116.18,197367.0,1
2024-01-12,A관(1공장),[20] 분리,113935.0,140720.0,197367.0,57.73,197367.0,1
2024-01-12,A관(1공장),[45] 하이드레이션/전면검사,91901.0,92208.0,118500.0,77.55,118500.0,1
2024-01-12,A관(1공장),[80] 누수/규격검사,65626.0,66077.0,112903.0,58.13,112903.0,1
2024-01-12,C관(2공장),[10] 사출조립,870667.0,982858.0,742386.0,117.28,742386.0,1
2024-01-12,C관(2공장),[20] 분리,986819.0,1191867.0,742386.0,132.93,742386.0,1
2024-01-12,C관(2공장),[45] 하이드레이션/전면검사,965104.0,971650.0,650698.0,148.32,650698.0,1
2024-01-12,C관(2공장),[80] 누수/규격검사,870837.0,879608.0,609677.0,142.84,609677.0,1
2024-01-12,S관(3공장),[10] 사출조립,284341.0,470664.0,183871.0,154.64,183871.0,1
2024-01-12,S관(3공장),[20] 분리,236982.0,286596.0,183871.0,128.88,183871.0,1
2024-01-12,S관(3공장),[45] 하이드레이션/전면검사,216734.0,220297.0,116759.0,185.63,116759.0,1
2024-01-12,S관(3공장),[80] 누수/규격검사,131389.0,132973.0,100645.0,130.55,100645.0,1
2024-01-13,A관(1공장),[10] 사출조립,171440.0,180590.0,197367.0,86.86,197367.0,1
2024-01-13,A관(1공장),[20] 분리,88931.0,110650.0,197367.0,45.06,197367.0,1
2024-01-13,A관(1공장),[45] 하이드레이션/전면검사,65471.0,65979.0,118500.0,55.25,118500.0,1
2024-01-13,A관(1공장),[80] 누수/규격검사,66638.0,68283.0,112903.0,59.02,112903.0,1
2024-01-13,C관(2공장),[10] 사출조립,910585.0,1010194.0,742386.0,122.66,742386.0,1
2024-01-13,C관(2공장),[20] 분리,928881.0,1109052.0,742386.0,125.12,742386.0,1
2024-01-13,C관(2공장),[45] 하이드레이션/전면검사,993065.0,997841.0,650698.0,152.62,650698.0,1
2024-01-13,C관(2공장),[80] 누수/규격검사,842493.0,850590.0,609677.0,138.19,609677.0,1
2024-01-13,S관(3공장),[10] 사출조립,249085.0,339144.0,183871.0,135.47,183871.0,1
2024-01-13,S관(3공장),[20] 분리,226461.0,276870.0,183871.0,123.16,183871.0,1
2024-01-13,S관(3공장),[45] 하이드레이션/전면검사,202570.0,207446.0,116759.0,173.49,116759.0,1
2024-01-13,S관(3공장),[80] 누수/규격검사,142016.0,143470.0,100645.0,141.11,100645.0,1
2024-01-14,A관(1공장),[10] 사출조립,212210.0,225330.0,197367.0,107.52,197367.0,1
2024-01-14,A관(1공장),[20] 분리,96910.0,119410.0,197367.0,49.1,197367.0,1
2024-01-14,A관(1공장),[45] 하이드레이션/전면검사,80722.0,80722.0,118500.0,68.12,118500.0,1
2024-01-14,A관(1공장),[80] 누수/규격검사,67192.0,67928.0,112903.0,59.51,112903.0,1
2024-01-14,C관(2공장),[10] 사출조립,999526.0,1130673.0,742386.0,134.64,742386.0,1
2024-01-14,C관(2공장),[20] 분리,995003.0,1191216.0,742386.0,134.03,742386.0,1
2024-01-14,C관(2공장),[45] 하이드레이션/전면검사,905503.0,912136.0,650698.0,139.16,650698.0,1
2024-01-14,C관(2공장),[80] 누수/규격검사,864174.0,867687.0,609677.0,141.74,609677.0,1
2024-01-14,S관(3공장),[10] 사출조립,277470.0,459144.0,183871.0,150.9,183871.0,1
2024-01-14,S관(3공장),[20] 분리,221367.0,270077.0,183871.0,120.39,183871.0,1
2024-01-14,S관(3공장),[45] 하이드레이션/전면검사,169943.0,175540.0,116759.0,145.55,116759.0,1
2024-01-14,S관(3공장),[80] 누수/규격검사,178528.0,179614.0,100645.0,177.38,100645.0,1
2024-01-15,A관(1공장),[10] 사출조립,227310.0,239640.0,197367.0,115.17,197367.0,1
2024-01-15,A관(1공장),[20] 분리,92818.0,117190.0,197367.0,47.03,197367.0,1
2024-01-15,A관(1공장),[45] 하이드레이션/전면검사,70242.0,70297.0,118500.0,59.28,118500.0,1
2024-01-15,A관(1공장),[80] 누수/규격검사,80153.0,81016.0,112903.0,70.99,112903.0,1
2024-01-15,C관(2공장),[10] 사출조립,984790.0,1098586.0,742386.0,132.65,742386.0,1
2024-01-15,C관(2공장),[20] 분리,972666.0,1166556.0,742386.0,131.02,742386.0,1
2024-01-15,C관(2공장),[45] 하이드레이션/전면검사,1061049.0,1072438.0,650698.0,163.06,650698.0,1
2024-01-15,C관(2공장),[80] 누수/규격검사,869408.0,881559.0,609677.0,142.6,609677.0,1
2024-01-15,S관(3공장),[10] 사출조립,243763.0,330356.0,183871.0,132.57,183871.0,1
2024-01-15,S관(3공장),[20] 분리,191390.0,232035.0,183871.0,104.09,183871.0,1
2024-01-15,S관(3공장),[45] 하이드레이션/전면검사,236563.0,239319.0,116759.0,202.61,116759.0,1
2024-01-15,S관(3공장),[80] 누수/규격검사,236956.0,242522.0,100645.0,235.44,100645.0,1
2024-01-16,A관(1공장),[10] 사출조립,188750.0,199840.0,197367.0,95.63,197367.0,1
2024-01-16,A관(1공장),[20] 분리,91154.0,114770.0,197367.0,46.19,197367.0,1
2024-01-16,A관(1공장),[45] 하이드레이션/전면검사,63893.0,64751.0,118500.0,53.92,118500.0,1
2024-01-16,A관(1공장),[80] 누수/규격검사,83257.0,84789.0,112903.0,73.74,112903.0,1
2024-01-16,C관(2공장),[10] 사출조립,911162.0,1032104.0,742386.0,122.73,742386.0,1
2024-01-16,C관(2공장),[20] 분리,921515.0,1099473.0,742386.0,124.13,742386.0,1
2024-01-16,C관(2공장),[45] 하이드레이션/전면검사,907795.0,914569.0,650698.0,139.51,650698.0,1
2024-01-16,C관(2공장),[80] 누수/규격검사,734662.0,750388.0,609677.0,120.5,609677.0,1
2024-01-16,S관(3공장),[10] 사출조립,230972.0,335792.0,183871.0,125.62,183871.0,1
2024-01-16,S관(3공장),[20] 분리,190044.0,245667.0,183871.0,103.36,183871.0,1
2024-01-16,S관(3공장),[45] 하이드레이션/전면검사,105705.0,109538.0,116759.0,90.53,116759.0,1
2024-01-16,S관(3공장),[80] 누수/규격검사,156162.0,158064.0,100645.0,155.16,100645.0,1
2024-01-17,A관(1공장),[10] 사출조립,242920.0,252600.0,197367.0,123.08,197367.0,1
2024-01-17,A관(1공장),[20] 분리,91126.0,119840.0,197367.0,46.17,197367.0,1
2024-01-17,A관(1공장),[45] 하이드레이션/전면검사,109853.0,109987.0,118500.0,92.7,118500.0,1
2024-01-17,A관(1공장),[80] 누수/규격검사,76591.0,77837.0,112903.0,67.84,112903.0,1
2024-01-17,C관(2공장),[10] 사출조립,893377.0,1007383.0,742386.0,120.34,742386.0,1
2024-01-17,C관(2공장),[20] 분리,925563.0,1121537.0,742386.0,124.67,742386.0,1
2024-01-17,C관(2공장),[45] 하이드레이션/전면검사,786261.0,793505.0,650698.0,120.83,650698.0,1
2024-01-17,C관(2공장),[80] 누수/규격검사,805002.0,825023.0,609677.0,132.04,609677.0,1
2024-01-17,S관(3공장),[10] 사출조립,199542.0,287664.0,183871.0,108.52,183871.0,1
2024-01-17,S관(3공장),[20] 분리,216777.0,274225.0,183871.0,117.9,183871.0,1
2024-01-17,S관(3공장),[45] 하이드레이션/전면검사,229124.0,232581.0,116759.0,196.24,116759.0,1
2024-01-17,S관(3공장),[80] 누수/규격검사,207713.0,208214.0,100645.0,206.38,100645.0,1
2024-01-18,A관(1공장),[10] 사출조립,211950.0,223230.0,197367.0,107.39,197367.0,1
2024-01-18,A관(1공장),[20] 분리,91405.0,110630.0,197367.0,46.31,197367.0,1
2024-01-18,A관(1공장),[45] 하이드레이션/전면검사,98945.0,101547.0,118500.0,83.5,118500.0,1
2024-01-18,A관(1공장),[80] 누수/규격검사,50163.0,52417.0,112903.0,44.43,112903.0,1
2024-01-18,C관(2공장),[10] 사출조립,922008.0,1050827.0,742386.0,124.2,742386.0,1
2024-01-18,C관(2공장),[20] 분리,967416.0,1158913.0,742386.0,130.31,742386.0,1
2024-01-18,C관(2공장),[45] 하이드레이션/전면검사,947501.0,962446.0,650698.0,145.61,650698.0,1
2024-01-18,C관(2공장),[80] 누수/규격검사,818497.0,828549.0,609677.0,134.25,609677.0,1
2024-01-18,S관(3공장),[10] 사출조립,283297.0,357952.0,183871.0,154.07,183871.0,1
2024-01-18,S관(3공장),[20] 분리,255529.0,314065.0,183871.0,138.97,183871.0,1
2024-01-18,S관(3공장),[45] 하이드레이션/전면검사,214897.0,217960.0,116759.0,184.05,116759.0,1
2024-01-18,S관(3공장),[80] 누수/규격검사,166270.0,168694.0,100645.0,165.2,100645.0,1
2024-01-19,A관(1공장),[10] 사출조립,180370.0,187790.0,197367.0,91.39,197367.0,1
2024-01-19,A관(1공장),[20] 분리,88447.0,115780.0,197367.0,44.81,197367.0,1
2024-01-19,A관(1공장),[45] 하이드레이션/전면검사,97503.0,97654.0,118500.0,82.28,118500.0,1
2024-01-19,A관(1공장),[80] 누수/규격검사,86491.0,89072.0,112903.0,76.61,112903.0,1
2024-01-19,C관(2공장),[10] 사출조립,977747.0,1065943.0,742386.0,131.7,742386.0,1
2024-01-19,C관(2공장),[20] 분리,1002250.0,1174522.0,742386.0,135.0,742386.0,1
2024-01-19,C관(2공장),[45] 하이드레이션/전면검사,1031402.0,1044638.0,650698.0,158.51,650698.0,1
2024-01-19,C관(2공장),[80] 누수/규격검사,791262.0,803432.0,609677.0,129.78,609677.0,1
2024-01-19,S관(3공장),[10] 사출조립,207245.0,252691.0,183871.0,112.71,183871.0,1
2024-01-19,S관(3공장),[20] 분리,250210.0,307528.0,183871.0,136.08,183871.0,1
2024-01-19,S관(3공장),[45] 하이드레이션/전면검사,207066.0,211739.0,116759.0,177.34,116759.0,1
2024-01-19,S관(3공장),[80] 누수/규격검사,166267.0,168949.0,100645.0,165.2,100645.0,1
2024-01-20,A관(1공장),[10] 사출조립,228910.0,250210.0,197367.0,115.98,197367.0,1
2024-01-20,A관(1공장),[20] 분리,65121.0,92990.0,197367.0,32.99,197367.0,1
2024-01-20,A관(1공장),[45] 하이드레이션/전면검사,73175.0,73309.0,118500.0,61.75,118500.0,1
2024-01-20,A관(1공장),[80] 누수/규격검사,86818.0,87479.0,112903.0,76.9,112903.0,1
2024-01-20,C관(2공장),[10] 사출조립,936058.0,1099967.0,742386.0,126.09,742386.0,1
2024-01-20,C관(2공장),[20] 분리,1019641.0,1180261.0,742386.0,137.35,742386.0,1
2024-01-20,C관(2공장),[45] 하이드레이션/전면검사,919638.0,931128.0,650698.0,141.33,650698.0,1
2024-01-20,C관(2공장),[80] 누수/규격검사,865383.0,879722.0,609677.0,141.94,609677.0,1
2024-01-20,S관(3공장),[10] 사출조립,244778.0,327261.0,183871.0,133.12,183871.0,1
2024-01-20,S관(3공장),[20] 분리,277121.0,343944.0,183871.0,150.71,183871.0,1
2024-01-20,S관(3공장),[45] 하이드레이션/전면검사,203194.0,206779.0,116759.0,174.03,116759.0,1
2024-01-20,S관(3공장),[80] 누수/규격검사,151846.0,155230.0,100645.0,150.87,100645.0,1
2024-01-21,A관(1공장),[10] 사출조립,233220.0,263940.0,197367.0,118.17,197367.0,1
2024-01-21,A관(1공장),[20] 분리,54235.0,73280.0,197367.0,27.48,197367.0,1
2024-01-21,A관(1공장),[45] 하이드레이션/전면검사,54584.0,55079.0,118500.0,46.06,118500.0,1
2024-01-21,A관(1공장),[80] 누수/규격검사,90198.0,90896.0,112903.0,79.89,112903.0,1
2024-01-21,C관(2공장),[10] 사출조립,972653.0,1076842.0,742386.0,131.02,742386.0,1
2024-01-21,C관(2공장),[20] 분리,1042564.0,1219926.0,742386.0,140.43,742386.0,1
2024-01-21,C관(2공장),[45] 하이드레이션/전면검사,1111465.0,1118586.0,650698.0,170.81,650698.0,1
2024-01-21,C관(2공장),[80] 누수/규격검사,866068.0,876695.0,609677.0,142.05,609677.0,1
2024-01-21,S관(3공장),[10] 사출조립,221274.0,290056.0,183871.0,120.34,183871.0,1
2024-01-21,S관(3공장),[20] 분리,186192.0,234224.0,183871.0,101.26,183871.0,1
2024-01-21,S관(3공장),[45] 하이드레이션/전면검사,97846.0,98398.0,116759.0,83.8,116759.0,1
2024-01-21,S관(3공장),[80] 누수/규격검사,150853.0,152856.0,100645.0,149.89,100645.0,1
2024-01-22,A관(1공장),[10] 사출조립,190650.0,206460.0,197367.0,96.6,197367.0,1
2024-01-22,A관(1공장),[20] 분리,83223.0,103690.0,197367.0,42.17,197367.0,1
2024-01-22,A관(1공장),[45] 하이드레이션/전면검사,54267.0,60520.0,118500.0,45.79,118500.0,1
2024-01-22,A관(1공장),[80] 누수/규격검사,64319.0,64706.0,112903.0,56.97,112903.0,1
2024-01-22,C관(2공장),[10] 사출조립,862609.0,1026100.0,742386.0,116.19,742386.0,1
2024-01-22,C관(2공장),[20] 분리,995745.0,1171993.0,742386.0,134.13,742386.0,1
2024-01-22,C관(2공장),[45] 하이드레이션/전면검사,984721.0,996271.0,650698.0,151.33,650698.0,1
2024-01-22,C관(2공장),[80] 누수/규격검사,866953.0,874620.0,609677.0,142.2,609677.0,1
2024-01-22,S관(3공장),[10] 사출조립,231437.0,301521.0,183871.0,125.87,183871.0,1
2024-01-22,S관(3공장),[20] 분리,257439.0,313114.0,183871.0,140.01,183871.0,1
2024-01-22,S관(3공장),[45] 하이드레이션/전면검사,145405.0,146757.0,116759.0,124.53,116759.0,1
2024-01-22,S관(3공장),[80] 누수/규격검사,124743.0,128065.0,100645.0,123.94,100645.0,1
2024-01-23,A관(1공장),[10] 사출조립,156920.0,171090.0,197367.0,79.51,197367.0,1
2024-01-23,A관(1공장),[20] 분리,72124.0,95060.0,197367.0,36.54,197367.0,1
2024-01-23,A관(1공장),[45] 하이드레이션/전면검사,105722.0,106093.0,118500.0,89.22,118500.0,1
2024-01-23,A관(1공장),[80] 누수/규격검사,75968.0,80144.0,112903.0,67.29,112903.0,1
2024-01-23,C관(2공장),[10] 사출조립,709209.0,820060.0,742386.0,95.53,742386.0,1
2024-01-23,C관(2공장),[20] 분리,953323.0,1154374.0,742386.0,128.41,742386.0,1
2024-01-23,C관(2공장),[45] 하이드레이션/전면검사,867185.0,872488.0,650698.0,133.27,650698.0,1
2024-01-23,C관(2공장),[80] 누수/규격검사,872182.0,883673.0,609677.0,143.06,609677.0,1
2024-01-23,S관(3공장),[10] 사출조립,212624.0,281614.0,183871.0,115.64,183871.0,1
2024-01-23,S관(3공장),[20] 분리,225559.0,284013.0,183871.0,122.67,183871.0,1
2024-01-23,S관(3공장),[45] 하이드레이션/전면검사,277720.0,280903.0,116759.0,237.86,116759.0,1
2024-01-23,S관(3공장),[80] 누수/규격검사,226280.0,231113.0,100645.0,224.83,100645.0,1
2024-01-24,A관(1공장),[10] 사출조립,258480.0,282430.0,197367.0,130.96,197367.0,1
2024-01-24,A관(1공장),[20] 분리,61356.0,85650.0,197367.0,31.09,197367.0,1
2024-01-24,A관(1공장),[45] 하이드레이션/전면검사,93958.0,94343.0,118500.0,79.29,118500.0,1
2024-01-24,A관(1공장),[80] 누수/규격검사,86347.0,87116.0,112903.0,76.48,112903.0,1
2024-01-24,C관(2공장),[10] 사출조립,710704.0,805603.0,742386.0,95.73,742386.0,1
2024-01-24,C관(2공장),[20] 분리,918529.0,1113646.0,742386.0,123.73,742386.0,1
2024-01-24,C관(2공장),[45] 하이드레이션/전면검사,1094586.0,1101876.0,650698.0,168.22,650698.0,1
2024-01-24,C관(2공장),[80] 누수/규격검사,870421.0,877416.0,609677.0,142.77,609677.0,1
